Salary,Born,Cntry,Nat,Ht,Wt,DftYr,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-
1125000,87-01-20,CAN,CAN,,225,2005,156,R,Reaves,Ryan,RW,STL,80,7,6,5,1,13,4
1050000,89-03-18,CAN,CAN,76,221,2007,78,R,Bortuzzo,Robert,D,STL,38,1,3,2,1,4,
700000,92-11-24,SWE,SWE,73,200,2011,126,L,Claesson,Fredrik,D,OTT,33,3,8,3,5,11,5
5250000,90-07-15,USA,USA,75,228,2008,3,R,Bogosian,Zach,D,BUF,56,2,9,,5,11,-17
5000000,95-09-01,CAN,CAN,,205,2013,1,R,MacKinnon,Nathan,C/RW,COL,82,16,,25,12,53,-14
625000,91-05-27,USA,USA,72,195,2010,122,R,Wagner,Chris,C/RW,ANA,43,6,1,1,0,7,2
4500000,80-06-04,CAN,CAN,73,208,1998,75,L,Beauchemin,Francois,D,COL,81,5,,8,5,18,
950000,88-04-14,CAN,CAN,76,225,2006,68,R,Gryba,Eric,D,EDM,40,2,4,3,1,,-5
1100000,92-11-11,CAN,CAN,,180,2011,96,R,Pageau,Jean-Gabriel,C,OTT,82,12,21,10,11,33,13
595000,93-05-01,CAN,CAN,72,179,,,R,Gaudreau,Frederick,C,NSH,9,0,1,0,1,1,1
4500000,85-08-17,CAN,CAN,75,215,2004,214,R,Brouwer,Troy,RW,CGY,74,13,12,5,7,25,-11
1250000,83-03-24,CAN,CAN,72,200,2001,264,R,Parenteau,PA,RW,N.J/NSH,67,13,15,8,7,28,-18
692500,95-07-01,USA,USA,75,214,2013,52,R,Bailey,Justin,RW,BUF,32,2,2,1,1,4,0
925000,94-08-16,CAN,CAN,,210,,65,L,Pelech,Adam,D,NYI,44,3,7,1,6,,-5
4838000,90-06-07,CAN,CAN,73,182,2008,114,L,Brodie,T.J.,D,CGY,82,6,30,,16,36,-16
750000,90-12-27,CAN,CAN,69,174,,,R,Marchessault,Jonathan,C,FLA,75,30,21,10,11,51,-21
5200000,89-12-16,DNK,DNK,72,210,2008,8,L,Boedker,Mikkel,LW/RW,S.J,81,10,16,10,6,26,0
600000,93-02-12,USA,USA,73,205,2011,21,R,Noesen,Stefan,RW,ANA/N.J,44,8,2,1,1,10,6
925000,94-07-08,USA,USA,,206,2013,104,L,Copp,Andrew,C,WPG,64,9,8,6,,17,8
4750000,87-01-01,SWE,SWE,71,189,2005,230,R,Hornqvist,Patric,RW,PIT,70,21,23,15,8,44,16
650000,94-01-14,CAN,CAN,,185,2012,156,R,Brown,Connor,RW,TOR,82,20,,10,6,36,3
4500000,90-02-06,CAN,CAN,72,195,2008,82,L,Henrique,Adam,C,N.J,82,20,20,13,7,40,-20
800000,94-02-02,CAN,CAN,72,185,2012,47,L,McGinn,Brock,LW,CAR,57,7,9,6,3,16,-11
925000,92-10-24,USA,USA,,178,2011,91,L,Rau,Kyle,C,FLA,24,2,1,0,1,,-3
1000000,91-12-02,SWE,SWE,72,190,2010,157,R,Fast,Jesper,RW/LW,NYR,68,6,15,10,5,21,6
2000000,84-12-18,USA,USA,78,244,2003,26,L,Boyle,Brian,C/LW,T.B/TOR,75,13,12,7,5,25,3
925000,94-02-27,CAN,CAN,74,192,2012,23,L,Matheson,Michael,D,FLA,81,7,10,7,3,17,-5
600000,92-07-25,CAN,CAN,72,186,,,L,Sgarbossa,Michael,C,ANA/FLA,38,2,7,5,2,9,
832500,95-02-02,CAN,CAN,72,209,2013,17,R,Lazar,Curtis,C/RW,CGY/OTT,37,1,3,1,,4,-8
575000,89-02-16,CAN,CAN,70,203,,,L,Liambas,Mike,LW,NSH,1,0,,0,0,0,-1
3500000,90-10-22,CAN,CAN,74,227,2009,94,R,Savard,David,D,CBJ,74,6,17,8,9,23,33
1750000,90-11-19,USA,USA,,210,2009,21,L,Moore,John,D,N.J,63,12,10,4,6,,-7
875000,93-02-24,CAN,CAN,73,193,,26,L,Danault,Phillip,LW/C,MTL,82,13,27,15,12,40,5
1000000,93-03-23,RUS,CZE,74,196,2011,41,L,Jaskin,Dmitrij,RW/LW,STL,51,1,10,5,,11,
575000,90-10-06,CAN,CAN,70,190,2009,139,R,Dumont,Gabriel,C,T.B,39,2,2,2,0,4,1
5750000,86-12-06,USA,USA,73,200,2005,28,R,Niskanen,Matt,D,WSH,78,5,34,17,17,39,
1250000,92-01-11,CAN,CAN,,200,,23,R,Pysyk,Mark,D,FLA,82,4,13,3,10,17,0
700000,91-10-29,SWE,SWE,73,202,2010,57,L,Lindberg,Oscar,C,NYR,65,8,12,6,6,20,
925000,94-08-30,RUS,RUS,79,265,2014,66,L,Tryamkin,Nikita,D,VAN,66,2,7,3,,9,-7
